2015-08-28 18:14:34,716 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\JAVIER\Dropbox\ANDES\ECOS\TercerSemestre\Proyecto\UBox\Operador\UBox-EJB\src\test\resources
2015-08-28 18:14:34,811 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:14:34,817 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-28 18:14:34,819 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:14:34,823 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\JAVIER\Dropbox\ANDES\ECOS\TercerSemestre\Proyecto\UBox\Operador\UBox-Web\src\test\resources
2015-08-28 18:14:35,030 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:14:35,035 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\JAVIER\Dropbox\ANDES\ECOS\TercerSemestre\Proyecto\UBox\Operador\UBox-WebServices\src\main\resources
2015-08-28 18:14:35,037 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:14:35,042 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\JAVIER\Dropbox\ANDES\ECOS\TercerSemestre\Proyecto\UBox\Operador\UBox-WebServices\src\test\resources
2015-08-28 18:25:49,445 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:25:49,459 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-08-28 18:25:49,470 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:25:49,475 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\JAVIER\Dropbox\ANDES\ECOS\TercerSemestre\Proyecto\UBox\Operador\UBox-Persistencia\src\test\resources
